"Story","Title","Result","Date","Stability","Duration (s)"
"Assignment four","Autherize user fail","ERROR","2020-10-27T23:29:32.861-05:00[America/Chicago]","0.0","2.19"
"Assignment four","Autherize user sucess","SUCCESS","2020-10-27T23:29:35.083-05:00[America/Chicago]","0.0","0.52"
